name,confidence,source
aero_fin_cp,sourced,"Fin centre of pressure aft of the fin root leading edge. Subsonic: Barrowman (1967), X_f = (X_R/3)(c_r + 2 c_t)/(c_r + c_t) + (1/6)[c_r + c_t - c_r c_t/(c_r + c_t)] with X_R = b tan(Lambda_LE). Supersonic: linearised theory gives a chordwise-uniform load inside the Mach cones, so the load centroid sits at mid-chord of the mean aerodynamic chord. Blended over 0.95 <= M <= 1.2 with the cubic Hermite blend."
aero_fin_form_factor,sourced,"Fin thickness form factor FF = 1 + 0.6 (t/c)/(x/c)_m + 100 (t/c)^4, the geometric bracket of Raymer, Aircraft Design 5th ed., eq. 12.30. Raymer's additional 1.34 M^0.18 (cos Lambda)^0.28 bracket is deliberately NOT applied: it is a subsonic interference allowance and would inject a spurious Mach dependence supersonically."
aero_fin_normal_force,sourced,"Fin panel-pair normal force, two branches with the switch at M_c = sqrt(1 + (8/(pi A))^2). Supersonic (linearised, Ackeret/Busemann first order with the Prandtl-Glauert factor): |CN| = [4 |sin a' cos a'|/sqrt(M^2-1) + 2 sin^2 a'] S_pair/S_ref. Subsonic (slender-wing lifting-surface estimate): |CN| = [(pi A/2) |sin a' cos a'| + 2 sin^2 a'] S_pair/S_ref. The 2 sin^2 a' term is Newtonian impact. Fleeman, Maximizing Missile Flight Performance course notes. The two branches are equal at M_c by construction; they are blended over 0.9 M_c to 1.1 M_c to remove the slope kink."
aero_fin_wave_drag,sourced,"Fin thickness (wave) drag from Ackeret linearised supersonic thin-airfoil theory for a symmetric double wedge: cd = (t/c)^2 / [x_t (1 - x_t) sqrt(M^2 - 1)], which reduces to the textbook 4 (t/c)^2 / sqrt(M^2 - 1) at x_t = 0.5. Liepmann and Roshko, Elements of Gasdynamics ch. 4; Anderson, Fundamentals of Aerodynamics, supersonic thin-airfoil theory. Leading-edge sweep relief is NOT credited, which is conservative."
aero_fin_wave_drag_crosscheck,sourced,"Cross-check only, never added into CD0: Newtonian-impact leading-edge drag CD = n_pairs Cp_max sin^2(delta_LE) cos(Lambda_LE) t_mac b / S_ref with Cp_max from the Rayleigh pitot relation. Fleeman, Maximizing Missile Flight Performance course notes."
aero_nose_cp,sourced,"Potential-lift centre of pressure of the forebody: 2/3 of the nose length for a cone and 0.466 of the nose length for a tangent ogive. Barrowman, The Practical Calculation of the Aerodynamic Characteristics of Slender Finned Vehicles (1967). Equivalent to the centroid of dS/dx under slender-body theory, which is what is computed directly when nTop supplies the cross-section area distribution."
aero_nozzle_exit_fraction_GUESS,GUESS,"GUESS. Used only when `area_nozzle_exit` is None and `power_on=True`: the nozzle exit is assumed to occupy A_e/A_base = 0.50. This is a placeholder for the real value, which WP3's motor model must supply. It changes only the powered-base drag relief."
aero_protuberance_GUESS,GUESS,"GUESS. A single lumped allowance for antennas, umbilicals, fin-root fairings, lugs, joints and surface imperfections, taken as 5 percent of the sum of the other zero-lift components. There is no correlation behind this number. It appears in the breakdown as 'CD_protuberance_GUESS' so it can never be mistaken for a computed quantity."
aero_skin_friction,sourced,"Sommer and Short T-prime reference-temperature method, NACA TN 3391 (1955): T'/T_inf = 1 + 0.035 M^2 + 0.45 (T_w/T_inf - 1), adiabatic wall with recovery factor r = 0.89. Incompressible mean turbulent flat-plate law from Prandtl-Schlichting, Cf = 0.455/(log10 Re)^2.58 (Schlichting, Boundary-Layer Theory 7th ed.); the same expression SUAVE uses in Methods.Aerodynamics.Common.Fidelity_Zero.Helper_Functions.compressible_turbulent_flat_plate. Viscosity at T' from Sutherland's law."
aero_transonic_bridge,sourced,"NOT PHYSICS. A cubic Hermite blend, 2 e^3 - 3 e^2 + 1, bridging the subsonic value to the M = 1.2 supersonic correlation over 0.95 <= M <= 1.2. Identical polynomial to SUAVE Methods.Aerodynamics.Supersonic_Zero.Drag.Cubic_Spline_Blender. Chosen because it is C1 at both ends, so the trajectory integrator and the optimiser see no kink. It does not reproduce the real transonic drag-rise peak, which lies above the M = 1.2 supersonic value."
aero_validation,sourced,"Validated against free-flight data for the Army-Navy Basic Finner reference projectile: A. D. Dupuis and W. Hathaway, 'Aeroballistic Range Tests of the Basic Finner Reference Projectile at Supersonic Velocities', Defence Research Establishment Valcartier, DREV-TM-9703 (1997), DTIC AD-A636861, Table VII (linear-theory reduction, 26 shots, M 1.06 to 4.47). See tests/test_aero.py for the digitised table and the tolerances achieved."
aero_wave_drag_crosscheck,sourced,"Second correlation for cross-check only (SPEC.md section 5): Sears-Haack type III equivalent-body volume wave drag CD = 1.5 pi^2 (d/L)^2 A_max/S_ref, from Sieron et al., Procedures and Design Data for the Formulation of Aircraft Configurations, WL-TR-93-3901 p. B-3, as implemented in SUAVE Methods.Aerodynamics.Supersonic_Zero.Drag.wave_drag_volume_sears_haack. Never added into CD0."
atmo_model,sourced,"U.S. Standard Atmosphere 1976 (NOAA/NASA/USAF, NASA-TM-X-74335), evaluated through SUAVE 2.5.2 Analyses.Atmospheric.US_Standard_1976"
atmo_sutherland_S,sourced,"Sutherland constant S = 110.4 K for air, used only to scale viscosity to a reference temperature. White, Viscous Fluid Flow 3rd ed., Table 1-2"
atmo_table,sourced,No empirical constant. Table built by direct evaluation of the SUAVE US 1976 model on a uniform 10 m altitude grid from 0 to 30 km; served by piecewise-linear interpolation (numpy.interp). The 11 km and 20 km layer breakpoints lie on grid nodes.
avionics_density,sourced,"Fleeman, Tactical Missile Design, 2nd ed., Chapter 2: missile electronics and actuation packaging density of order 800 to 1600 kg/m^3"
bulkhead_allowance,GUESS,"GUESS: four ring bulkheads, each a full-diameter disc of 40 percent of wall thickness. Not from a source; a placeholder for joint, rail and lug hardware"
case_minimum_gauge,GUESS,"Manufacturing minimum gauge, not a strength requirement. Hoop stress alone gives a sub-millimetre wall at this chamber pressure, which cannot be filament wound or machined. Floors of 1.8 mm (composite, roughly 3 to 4 wound plies) and 1.2 mm (metallic) are taken as engineering minimums. GUESS: no public minimum-gauge standard was found, but without the floor the model returns a motor mass fraction of 0.95, well above the 0.80 to 0.92 band for real tactical motors"
case_safety_factor,sourced,"MIL-STD-1522A / common solid-motor practice: burst safety factor 1.5 on MEOP for metallic cases, 2.0 for filament-wound composite"
cd0_calibration,sourced,"Calibration, not physics. The WP2 component build-up reproduces the 23 Basic Finner free-flight shots of Dupuis and Hathaway, DREV-TM-9703 (1997) Table VII with a systematic mean bias of -14.6 percent on CD0 for M >= 1.4. The shortfall is attributed to fin trailing-edge base drag, fin-body junction interference, and the double-wedge fin section assumed in place of the real conical section. CD0 is scaled by 1/(1 - 0.146) = 1.171 in the sizing loop so that range is not overpredicted. Applied once, at the loop boundary, never inside the aero model."
contingency_margin,sourced,AIAA S-120A-2015 mass-properties practice: conceptual-phase (Class-I) dry-mass growth allowance of 15 to 25 percent; 18 percent taken here
hoop_stress_case,sourced,"Sutton and Biblarz, Rocket Propulsion Elements, 9th ed., Chapter 14: thin-wall pressure-vessel hoop stress t = p*R/sigma, with a design safety factor on burst"
insulation_thickness,MODELLING CHOICE,"Sutton and Biblarz, Rocket Propulsion Elements, 9th ed., Chapter 14: EPDM chamber insulation 1 to 5 mm for short-burn tactical motors; 2.5 mm taken here as a mid-range modelling choice"
mass_frac_tactical_motor,sourced,"Fleeman, Tactical Missile Design, 2nd ed., AIAA Education Series, Chapter 4: tactical solid motor propellant mass fraction typically 0.80 to 0.92 of motor assembly mass"
nTop,sourced,"nTop 5.53.2 / 5.54.0, ntopcl Automate"
nozzle_mass_fraction,sourced,"Fleeman, Tactical Missile Design, 2nd ed., Chapter 4: fixed nozzle assembly is typically 8 to 15 percent of inert motor mass for a tactical solid motor"
prop.burn_rate_coefficient,MODELLING CHOICE,"MODELLING CHOICE inside a cited range: reference burn rate 10.0 mm/s at 1000 psia. Sutton Table 12-1 (HTPB/AP/Al) gives 0.25 to 3.0 in/s = 6.35 to 76.2 mm/s at 1000 psia, and the Ch.12 text on p.476 states most composite propellants burn at 7 to 20 mm/s. The coefficient a follows from a = r_ref / p_ref^n."
prop.burn_rate_exponent,sourced,"Sutton and Biblarz, Rocket Propulsion Elements, Ch.12 Table 12-1, row HTPB/AP/Al: pressure exponent n = 0.40."
prop.c_star,sourced,"DERIVED, not tabulated: c* = Isp_ref * g0 / C_F_ref, where Isp_ref = 262.5 s (Sutton Table 12-1) and C_F_ref is the ideal thrust coefficient at the Table 12-1 reference conditions (p_c = 1000 psia, optimum expansion to 14.7 psia) computed from the isentropic relations with gamma = 1.20."
prop.case_safety_factor,MODELLING CHOICE,"MODELLING CHOICE: safety factor 1.5 applied to material yield strength in the thin-wall hoop-stress case sizing (sigma = p * r / t), plus a 1.0 mm minimum practical gauge. 1.5 is the conventional aerospace pressure-vessel factor; it was not taken from a specific standard in this session."
prop.density_table,sourced,"Sutton and Biblarz, Rocket Propulsion Elements, Ch.12 Table 12-1, row HTPB/AP/Al: 0.067 lb/in^3, specific gravity 1.86. The model uses the density of MATERIALS['propellant_htpb_ap'] (1800 kg/m^3) so config.py stays the single source of truth; 1860 kg/m^3 is the Table 12-1 value for this exact formulation."
prop.end_burning_sustainer,sourced,"J. M. Seitzman, Georgia Tech AE6450 Rocket Propulsion, 'Solid Propellants' lecture notes, slide 17: free-standing grains are 'better suited for end burning motors (used in sustain portion of some rockets)'. Retrieved 2026-08-17 from seitzman.gatech.edu/classes/ae6450/solid_propellants.pdf."
prop.flame_temperature,sourced,"Sutton and Biblarz, Rocket Propulsion Elements, Ch.12 Table 12-1, row HTPB/AP/Al: flame temperature 5700 F = 3440 K."
prop.gamma,GUESS,"ASSUMPTION (not tabulated, treat as a guess inside a physically bounded band): ratio of specific heats of the combustion products taken as 1.20, the value normally used for aluminized AP/HTPB exhaust. Cross-checked: with gamma = 1.20 the cited Isp (262.5 s) and flame temperature (3440 K) imply a mean exhaust molar mass of about 26 kg/kmol, inside the 25 to 30 kg/kmol band of Sutton Figure 12-3 for HTPB-based composite propellant at 68 atm. A +/- 0.02 change in gamma moves the derived c* by about 1.5 %."
prop.ideal_nozzle,APPROXIMATION,"APPROXIMATION: frozen-composition, constant-gamma, single-phase isentropic nozzle flow. No two-phase Al2O3 loss, no divergence loss, no combustion efficiency and no throat erosion. Reported Isp is therefore an ideal value; real delivered Isp for a tactical motor of this class is typically 3 to 7 % lower (magnitude of that correction NOT sourced here, so it is not applied)."
prop.igniter_mass,GUESS,GUESS: igniter and safe-arm mass taken as 0.5 % of total propellant mass.
prop.insulation_thickness,GUESS,"GUESS: 3.0 mm of EPDM internal insulation on the case wall and domes. Real insulation is sized from local gas-side heat flux and exposure time, which is out of scope (SPEC.md section 8). Density from MATERIALS['insulation_epdm']."
prop.isentropic_tables,sourced,"Purdue University School of Aeronautics and Astronautics, '1-D Isentropic Flow' tables, gamma = 1.2 and gamma = 1.4, engineering.purdue.edu/~propulsi/propulsion/flow/. Used as the published validation reference for the area-Mach and pressure-ratio relations (gamma 1.2: M 2.00 -> A/A* 1.884, pt/p 7.530; M 3.00 -> A/A* 6.735, pt/p 47.05; gamma 1.4: M 4.00 -> A/A* 10.72, pt/p 151.8)."
prop.isp_reference,sourced,"Sutton and Biblarz, Rocket Propulsion Elements, Ch.12 Table 12-1 'Characteristics of Some Operational Solid Propellants', row HTPB/AP/Al: Is range 260 to 265 s, footnote (b) 'at 1000 psia expanding to 14.7 psia, ideal or theoretical value at reference conditions'. Mid-range 262.5 s used. Read from the chapter PDF on 2026-08-17."
prop.motor_mass_fraction,GUESS,"CROSS-CHECK CORRELATION, quoted band only, treat the endpoints as a guess: tactical solid rocket motors have propellant mass fractions m_p / (m_p + m_inert) of roughly 0.80 to 0.91. This band was not verified against a primary source in this session; it is used only to bound the physics-route inert mass, never to replace it silently."
prop.neutral_burning,APPROXIMATION,"APPROXIMATION: neutral (constant) burning is assumed within each phase. The burn-rate law is closed at the MEAN web position, which makes propellant mass, web thickness, mass flow and burn time mutually consistent (w = V_p / A_b_mean, t_b = w / r, mdot = rho * A_b_mean * r). No burnback simulation is performed, so the reported grain dimensions are volume- and area-equivalent, not a manufacturing drawing."
prop.nozzle_mass_model,GUESS,"GUESS-LEVEL geometric estimate: conical nozzle, 15 deg half angle, 8.0 mm wall, bulk graphite / carbon-carbon density 1800 kg/m^3 (handbook range 1.7 to 1.9 g/cm^3, not verified against a datasheet in this session), multiplied by 1.5 to allow for the convergent section, throat insert and attach ring. This estimate is known to be optimistic; compare against SOURCES['prop.motor_mass_fraction']."
prop.ramp_times,MODELLING CHOICE,"MODELLING CHOICE, not physics: ignition rise 0.05 s (specified by the WP3 task statement), boost-to-sustain blend 0.10 s, tail-off 0.20 s. The ramps are mass-conserving by construction so total impulse is unchanged."
prop.separation_criterion,APPROXIMATION,"Summerfield flow-separation criterion, separation when p_e / p_a is below about 0.4 (Summerfield, Foster and Swan, 1954; the 0.4 figure is the commonly quoted approximation and was NOT verified against the primary paper in this session). Used only to raise a warning, never to change a force."
prop.terminal_grain,MODELLING CHOICE,"MODELLING CHOICE: the terminal segment is an internal-burning tubular grain, the same geometry and the same mean-web closure as the boost segment, because an end burner at this bore cannot supply the burning area a multi-kilonewton terminal thrust needs at a credible chamber pressure. Its length counts towards the SPEC.md section 4 grain L/D limit of 1.0 to 8.0."
prop.terminal_pulse,GUESS,"MODELLING CHOICE with one guess: the terminal pulse is a third grain segment in the same case, ignited on command rather than on a timer, which is how real dual-pulse tactical motors work (an inter-pulse bulkhead separates the charges and a second igniter fires the aft one). Its default chamber pressure is 1.0 x DesignVector.p_c, that is the pressure the case is already sized for, so no new number is introduced. GUESS: the inter-pulse bulkhead, its insulation and the second igniter are NOT costed as separate inert mass; the terminal grain is charged only the same 0.5 % igniter fraction as the rest of the motor, so the reported inert mass is optimistic for a pulsed motor. Physical motivation: an unpowered terminal dive is terminal-velocity limited and cannot reach Mach 1.5 at sea level for any dive angle, so thrust in the endgame is the only way to meet SPEC R6."
prop.throat_transition_credibility,sourced,"HARDWARE CREDIBILITY STATEMENT, not a number. The boost throat is larger than the sustain throat, so the boost-to-sustain transition needs the throat to SHRINK. No ejectable-insert mechanism does that; an ejected insert and throat erosion both only enlarge a throat. The credible hardware for a smaller effective throat after boost is a separate smaller sustainer nozzle in the same aft closure, or a tandem booster that is jettisoned, neither of which is a single-throat motor. This model does not invent a shrinking-throat mechanism: `throat_transition_report()` names every transition and its direction so a detailed design must resolve it. The terminal pulse shares the sustain throat by default precisely so that it adds no further transition."
prop.two_position_throat,MODELLING CHOICE,"MODELLING CHOICE: the motor is given a two-position throat (ejectable boost throat insert) so the boost and sustain phases can run at different throat areas with the same nozzle area ratio. Without it, a single throat sized for the boost thrust drives the sustain chamber pressure to about 0.13 MPa and Kn to about 22, which no composite propellant will sustain. Set two_position_throat=False to model one fixed throat instead."
radome_thickness,GUESS,"GUESS: 6 mm Pyroceram radome wall. No public thickness standard was found for a 0.35 m class radome; scaled from the requirement that wall thickness be an integer number of half-wavelengths at Ku band, which is not modelled here"
traj.alpha_limit,GUESS,"MODELLING CHOICE: trim angle of attack is limited to 15 deg. Trim demands beyond that are recorded as an authority shortfall rather than flown, so the sizing loop can see them. 15 deg is a conventional tactical-rocket limit; it was not taken from a specific source in this session, so treat it as a guess."
traj.atmosphere_fallback,sourced,"The atmosphere is taken from rocketgen.sizing.atmosphere (WP2) when that module is importable, discovered through `atmo(h)`, `properties(h)`, `atmosphere_properties(h)`, `conditions(h)` or the split density/pressure/temperature/speed_of_sound functions. If none of those work, a minimal inline US Standard 1976 implementation is used instead (layer base values from NASA-TM-X-74335, R = 287.0528 J/(kg.K), effective earth radius 6 356 766 m, valid to 84.852 km geopotential). Check trajectory.ATMOSPHERE_SOURCE at run time; the module records which route it took and the mission adds a warning to TrajectoryResult.message when the fallback is in use."
traj.dive_entry,MODELLING CHOICE,"MODELLING CHOICE: SPEC.md section 2 does not define the coast-to-dive transition. Rule 'max_range' (default): hold altitude until level trim can no longer be held inside the alpha limit, or until Mach falls to 1.20, then dive at Requirements.gamma_terminal. Rule 'range': dive as soon as the current range plus the geometric dive range reaches Requirements.range_min. Rule 'terminal_boost': dive the moment the sustain phase ends, with no level coast at all, which keeps the most kinetic and potential energy for the endgame."
traj.equations,sourced,"Standard flat-earth 3-DOF point-mass equations in the vertical plane, as given in any flight-mechanics text (for example Zipfel, 'Modeling and Simulation of Aerospace Vehicle Dynamics', Ch.3, or Fleeman, 'Tactical Missile Design', flight performance chapter). Thrust acts along the body axis at angle of attack alpha to the velocity vector, so thrust-alpha coupling is included."
traj.gravity,MODELLING CHOICE,"Constant gravity g = 9.80665 m/s^2 (standard gravity, CGPM 1901). MODELLING CHOICE: the inverse-square variation is neglected, which is under 0.4 % over the 0 to 12 km band of this mission and keeps the analytic validation cases in tests/test_trajectory.py exact."
traj.guidance_gains,MODELLING CHOICE,"MODELLING CHOICE, no source: the altitude-hold and flight-path-angle autopilot gains (0.15 1/s outer, 2.0 1/s inner), the 200 m/s commanded climb rate cap, the 45 deg commanded climb angle cap and the 20 g commanded load factor cap are arbitrary. Guidance law design is an explicit non-goal (SPEC.md section 8); these gains only have to fly the SPEC.md section 2 profile smoothly. They do not appear in any reported performance number other than through the flown trajectory. The load factor cap matters for one thing only: it keeps the recorded CN_required history finite at the dive-entry command step, so the sizing loop can read it."
traj.integrator,sourced,"Fixed-step classical RK4 (Runge 1895, Kutta 1901), with an optional adaptive mode using step doubling and Richardson error estimation. Fourth order is verified in tests/test_trajectory.py by halving dt and checking the error ratio."
traj.motor_state_reset,sourced,"`Mission.fly` resets the motor's terminal ignition time to None and re-arms the pulse before each run, because the ignition time is motor state and the sizing loop calls fly() repeatedly on one motor object. Without the reset a second flight would inherit the first flight's ignition time."
traj.result_extensions,sourced,"`integrate` fills three fields beyond the base trajectory histories: `CN_required` (required normal-force coefficient on S_ref at each sample), `alpha_limited` (True where the trim demand exceeded the alpha limit) and `diagnostics`. These are now declared on config.TrajectoryResult, so they are part of the contract rather than attached attributes."
traj.sustain_thrust_check,sourced,"The sustain phase is flown with the thrust the motor actually delivers, never with the thrust the constant-Mach constant-altitude condition would need. The shortfall is recorded in TrajectoryResult.message and in Mission.diagnostics['sustain_thrust_deficit_max']."
traj.terminal_boost_ignition,MODELLING CHOICE,"MODELLING CHOICE: SPEC.md section 2 has no terminal-boost phase, so the ignition trigger is invented here and exposed rather than hidden. Rule 'carry_to_impact' (default) lights the pulse when the altitude falls to terminal_ignition_margin * V * |sin(gamma_terminal)| * t_terminal, that is when the predicted remaining descent time equals the terminal burn time, so the pulse burns out at impact instead of above the ground. Rule 'dive_entry' lights it at dive entry. Rule 'never' leaves it unlit, which is what the two-phase regression case uses. The margin defaults to 1.0 and is a free parameter for the sizing loop: the prediction uses the CURRENT speed and the pulse accelerates the rocket, so a margin near 1.0 lights slightly late and the pulse is still burning at impact. That is the safe side; a margin above about 1.3 wastes propellant above the ground."
